epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2349.51,1.37279,2.00777,1.42365,0.61354,0.46256,0.48268,0.21718,1.86624,1.73532,1.64849,0.00023727,0.00023727,0.00023727
2,1779.82,1.199,1.39657,1.29669,0.65361,0.47996,0.51076,0.2476,1.79422,1.56074,1.56259,0.000456449,0.000456449,0.000456449
3,3193.66,1.25736,1.42422,1.3207,0.61337,0.52678,0.55417,0.24855,1.80646,1.43966,1.58232,0.000656779,0.000656779,0.000656779
4,4315.57,1.21859,1.37223,1.29893,0.72829,0.51254,0.57325,0.26159,1.8239,1.43303,1.63136,0.000629177,0.000629177,0.000629177
5,5399.67,1.18652,1.29793,1.27521,0.76405,0.5752,0.62888,0.29865,1.73098,1.2997,1.56031,0.000600902,0.000600902,0.000600902
6,6498.04,1.16555,1.23671,1.26004,0.75507,0.59071,0.64661,0.28882,1.86815,1.28728,1.63956,0.000572628,0.000572628,0.000572628
7,7566.77,1.13737,1.19183,1.23785,0.74788,0.59269,0.6464,0.30717,1.7584,1.18631,1.5593,0.000544354,0.000544354,0.000544354
8,8647.86,1.11726,1.13727,1.22558,0.76134,0.63704,0.67526,0.33697,1.66072,1.09295,1.49856,0.000516079,0.000516079,0.000516079
9,9707.06,1.0782,1.09329,1.2149,0.7964,0.61953,0.66054,0.30807,1.74167,1.07354,1.53128,0.000487805,0.000487805,0.000487805
10,10759.2,1.07358,1.04438,1.19673,0.80986,0.63189,0.67192,0.31603,1.80307,1.07859,1.55307,0.00045953,0.00045953,0.00045953
11,12254.1,1.0602,1.01802,1.19014,0.82611,0.63068,0.69984,0.37009,1.60325,1.02894,1.43161,0.000431256,0.000431256,0.000431256
12,14577.5,1.04297,0.98948,1.17907,0.84378,0.62998,0.69227,0.37797,1.53039,0.99637,1.38553,0.000402982,0.000402982,0.000402982
13,16802.7,1.02071,0.96126,1.16788,0.84736,0.63862,0.70889,0.37003,1.56947,1.00217,1.4235,0.000374707,0.000374707,0.000374707
14,18892.8,0.998,0.93098,1.15652,0.80021,0.67152,0.71675,0.38044,1.53774,0.93416,1.40342,0.000346433,0.000346433,0.000346433
15,20069,0.98595,0.90132,1.14452,0.8523,0.64012,0.72106,0.39116,1.47284,0.88562,1.366,0.000318158,0.000318158,0.000318158
16,21284,1.00144,0.81467,1.1427,0.85749,0.65692,0.73307,0.40431,1.46987,0.89322,1.34536,0.000289884,0.000289884,0.000289884
17,22551.9,0.9739,0.75826,1.12131,0.89818,0.66364,0.75051,0.42084,1.44571,0.8152,1.32923,0.00026161,0.00026161,0.00026161
18,23651,0.95055,0.73259,1.11257,0.88221,0.65922,0.74403,0.38696,1.54531,0.84248,1.39707,0.000233335,0.000233335,0.000233335
19,24691.8,0.9328,0.70843,1.10154,0.88484,0.66955,0.74358,0.43723,1.36753,0.80037,1.30471,0.000205061,0.000205061,0.000205061
20,25733.5,0.91176,0.68258,1.08767,0.90784,0.67946,0.76489,0.42373,1.42965,0.81052,1.31994,0.000176786,0.000176786,0.000176786
21,26769.8,0.89191,0.6584,1.07957,0.8854,0.69703,0.77385,0.4416,1.33974,0.75884,1.26367,0.000148512,0.000148512,0.000148512
22,27807,0.87531,0.63149,1.06917,0.91117,0.69188,0.77507,0.44271,1.38058,0.74737,1.289,0.000120238,0.000120238,0.000120238
23,28849.2,0.86161,0.62041,1.05768,0.87119,0.70184,0.77493,0.44864,1.318,0.72828,1.25323,9.19632e-05,9.19632e-05,9.19632e-05
24,29889.1,0.84328,0.60611,1.04919,0.88906,0.69967,0.77414,0.45232,1.30556,0.71648,1.26082,6.36888e-05,6.36888e-05,6.36888e-05
25,30931,0.83546,0.59976,1.04726,0.88284,0.7082,0.77534,0.44902,1.32123,0.70085,1.27024,3.54144e-05,3.54144e-05,3.54144e-05
