epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3167.75,1.31036,2.03155,1.44508,0.65916,0.43874,0.49057,0.206,1.88166,1.98045,1.85432,0.00023727,0.00023727,0.00023727
2,7583.21,1.25292,1.50963,1.3797,0.67527,0.50967,0.54181,0.23322,1.87907,1.72049,1.84701,0.000466715,0.000466715,0.000466715
3,11621.3,1.22878,1.43599,1.36951,0.6674,0.51674,0.55152,0.25396,1.82678,1.63973,1.84758,0.000687592,0.000687592,0.000687592
4,5186.07,1.18493,1.38002,1.35,0.69891,0.51513,0.5885,0.2893,1.73862,1.63069,1.73345,0.000675444,0.000675444,0.000675444
5,8372.84,1.16781,1.25521,1.31196,0.70779,0.53398,0.58564,0.265,1.91508,1.61827,1.88493,0.000662592,0.000662592,0.000662592
6,12981.3,1.11883,1.16938,1.28951,0.74134,0.5556,0.6185,0.30032,1.71321,1.3399,1.74909,0.00064974,0.00064974,0.00064974
7,17045.1,1.13449,1.18852,1.29783,0.6996,0.60762,0.65049,0.32782,1.72153,1.29345,1.71635,0.000636888,0.000636888,0.000636888
8,20192.8,1.12234,1.16554,1.28896,0.74057,0.63583,0.68112,0.33031,1.6913,1.24057,1.69077,0.000624036,0.000624036,0.000624036
9,23222,1.09914,1.11605,1.26986,0.7729,0.63776,0.69112,0.35949,1.59992,1.12775,1.61472,0.000611184,0.000611184,0.000611184
10,29030.4,1.08543,1.07712,1.25926,0.79451,0.64266,0.69686,0.34752,1.66964,1.09738,1.67333,0.000598332,0.000598332,0.000598332
11,32465.7,1.05564,1.06019,1.25026,0.78558,0.60962,0.67559,0.30437,1.76773,1.18193,1.72485,0.00058548,0.00058548,0.00058548
12,35301.2,1.05685,1.01937,1.2412,0.78343,0.66365,0.70155,0.35036,1.70476,1.14287,1.64084,0.000572628,0.000572628,0.000572628
13,38626.5,1.03743,0.99522,1.22462,0.85092,0.63286,0.71959,0.37084,1.5994,1.11445,1.57877,0.000559776,0.000559776,0.000559776
14,44385.5,1.02866,0.97471,1.22256,0.82788,0.63277,0.71775,0.40084,1.46893,1.02408,1.50911,0.000546924,0.000546924,0.000546924
15,2654.1,0.97544,0.90814,1.19506,0.82622,0.65425,0.72919,0.40602,1.46997,1.03378,1.49966,0.000534072,0.000534072,0.000534072
16,7904.12,0.9841,0.88196,1.18412,0.79324,0.65923,0.73028,0.39945,1.50247,1.00975,1.54291,0.00052122,0.00052122,0.00052122
17,12184.2,0.95922,0.8598,1.17533,0.8423,0.68413,0.74697,0.41065,1.5109,0.98804,1.53873,0.000508368,0.000508368,0.000508368
18,16203.7,0.95656,0.85911,1.17053,0.84964,0.66453,0.74414,0.44077,1.38289,0.94108,1.43161,0.000495516,0.000495516,0.000495516
19,20175.2,0.95286,0.84202,1.16706,0.83965,0.67143,0.75164,0.41881,1.4863,0.94819,1.51617,0.000482664,0.000482664,0.000482664
20,24323.3,0.93728,0.82341,1.15878,0.83919,0.69321,0.7538,0.40919,1.45936,0.92793,1.51665,0.000469812,0.000469812,0.000469812
21,28342,0.92132,0.79341,1.14665,0.84262,0.68624,0.75734,0.44015,1.42842,0.89875,1.50448,0.00045696,0.00045696,0.00045696
22,30799,0.89587,0.782,1.14076,0.88295,0.68696,0.77561,0.42873,1.50491,0.88524,1.54532,0.000444108,0.000444108,0.000444108
23,35238.9,0.90101,0.76794,1.1363,0.83648,0.72313,0.78202,0.4256,1.53251,0.93211,1.52637,0.000431256,0.000431256,0.000431256
24,39127.8,0.89496,0.75394,1.12795,0.86054,0.70806,0.77961,0.45105,1.41078,0.86096,1.47812,0.000418404,0.000418404,0.000418404
25,2656.06,0.84869,0.71439,1.10923,0.84552,0.71932,0.78272,0.45184,1.43045,0.88038,1.48574,0.000405552,0.000405552,0.000405552
26,6041.22,0.73862,0.59751,1.04871,0.88768,0.67602,0.76573,0.43861,1.43394,0.90849,1.51551,0.0003927,0.0003927,0.0003927
27,8852.55,0.85479,0.6881,1.10121,0.86021,0.69864,0.78736,0.45867,1.34824,0.84728,1.42631,0.000379848,0.000379848,0.000379848
28,13298.7,0.83403,0.68109,1.09516,0.86271,0.69953,0.78521,0.4485,1.37742,0.85446,1.47106,0.000366996,0.000366996,0.000366996
29,20041.1,0.83028,0.67401,1.09141,0.87083,0.72288,0.79395,0.46168,1.38641,0.81584,1.46056,0.000354144,0.000354144,0.000354144
30,2528.71,0.71383,0.57016,1.03301,0.85854,0.70307,0.77932,0.44933,1.36878,0.84862,1.4702,0.000341292,0.000341292,0.000341292
31,5713.66,0.75698,0.58957,1.04576,0.89117,0.70542,0.79315,0.47105,1.35283,0.85538,1.47374,0.00032844,0.00032844,0.00032844
32,8919.71,0.74694,0.58098,1.0446,0.84854,0.735,0.79189,0.47081,1.36601,0.84384,1.43092,0.000315588,0.000315588,0.000315588
33,13185.3,0.74606,0.58134,1.0427,0.89774,0.71089,0.79232,0.47562,1.34839,0.84065,1.43823,0.000302736,0.000302736,0.000302736
34,6108.7,0.65439,0.50476,0.99964,0.87536,0.70434,0.78803,0.47146,1.32597,0.84012,1.4453,0.000289884,0.000289884,0.000289884
35,8728.96,0.69429,0.52277,1.0108,0.86736,0.73698,0.7959,0.46694,1.39754,0.86758,1.51147,0.000277032,0.000277032,0.000277032
36,11182.1,0.69668,0.51956,1.01537,0.82934,0.73461,0.78941,0.46262,1.36922,0.81853,1.4518,0.00026418,0.00026418,0.00026418
37,14571.3,0.69327,0.51991,1.01142,0.87136,0.73662,0.79678,0.49422,1.25225,0.79964,1.39721,0.000251328,0.000251328,0.000251328
38,19978.2,0.80059,0.6291,1.07246,0.88977,0.73012,0.80135,0.47925,1.33853,0.76887,1.44918,0.000238476,0.000238476,0.000238476
39,23460.6,0.78707,0.61905,1.06825,0.86329,0.73431,0.80392,0.50448,1.25951,0.76932,1.37388,0.000225624,0.000225624,0.000225624
40,26502.4,0.77385,0.60271,1.05786,0.84579,0.76805,0.81826,0.4976,1.30007,0.77073,1.41662,0.000212772,0.000212772,0.000212772
41,28932.4,0.75012,0.59187,1.05285,0.88816,0.75402,0.81454,0.49986,1.33047,0.77937,1.41151,0.00019992,0.00019992,0.00019992
42,31358.5,0.7501,0.57973,1.04695,0.89584,0.73859,0.81742,0.51212,1.2808,0.75316,1.37212,0.000187068,0.000187068,0.000187068
43,33797.6,0.74483,0.57268,1.04134,0.88298,0.73847,0.81047,0.50919,1.27348,0.77987,1.4073,0.000174216,0.000174216,0.000174216
44,6983.36,0.59939,0.4604,0.97416,0.89963,0.75931,0.8247,0.50543,1.2998,0.75907,1.43293,0.000161364,0.000161364,0.000161364
45,2491.47,0.52024,0.39435,0.93772,0.89695,0.75766,0.8196,0.50911,1.27616,0.72737,1.45355,0.000148512,0.000148512,0.000148512
46,4891.23,0.79727,0.54022,1.06978,0.87364,0.74241,0.80851,0.51555,1.25381,0.72539,1.38616,0.00013566,0.00013566,0.00013566
47,7276.09,0.77737,0.53128,1.056,0.88169,0.74579,0.81674,0.51539,1.22995,0.69682,1.35787,0.000122808,0.000122808,0.000122808
48,10963.2,0.76299,0.51362,1.04394,0.87243,0.76049,0.81951,0.52473,1.1902,0.69207,1.34034,0.000109956,0.000109956,0.000109956
49,14842.8,0.75317,0.5001,1.03697,0.87764,0.7632,0.81896,0.53211,1.18961,0.68154,1.32267,9.7104e-05,9.7104e-05,9.7104e-05
