epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.391,1.50264,2.72486,1.47523,0.60916,0.37197,0.40972,0.18926,1.70538,2.01615,1.5712,0.00023727,0.00023727,0.00023727
2,874.783,1.4004,1.80554,1.40989,0.65507,0.45817,0.49758,0.22526,1.83768,1.83535,1.63503,0.000428218,0.000428218,0.000428218
3,1344.62,1.36207,1.63877,1.37526,0.68388,0.44526,0.50394,0.24444,1.73698,1.69517,1.58645,0.000572042,0.000572042,0.000572042
