epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.337,1.50264,2.72486,1.47523,0.60916,0.37197,0.40972,0.18926,1.70538,2.01615,1.5712,0.00023727,0.00023727,0.00023727
2,892.851,1.4004,1.80554,1.40989,0.65507,0.45817,0.49758,0.22526,1.83768,1.83535,1.63503,0.000428218,0.000428218,0.000428218
3,1333.73,1.36207,1.63877,1.37526,0.68388,0.44526,0.50394,0.24444,1.73698,1.69517,1.58645,0.000572042,0.000572042,0.000572042
4,1781.2,1.30449,1.51299,1.34272,0.61313,0.54316,0.55586,0.25658,1.71103,1.61542,1.56482,0.000501942,0.000501942,0.000501942
5,2234.48,1.26637,1.41359,1.31384,0.69543,0.51681,0.55841,0.28253,1.64287,1.53709,1.48922,0.000431256,0.000431256,0.000431256
6,2683.42,1.23713,1.34033,1.28647,0.73281,0.54119,0.59184,0.30434,1.59511,1.41527,1.46364,0.00036057,0.00036057,0.00036057
7,3137.17,1.19572,1.26596,1.25773,0.78137,0.55823,0.62048,0.30826,1.63987,1.40467,1.46339,0.000289884,0.000289884,0.000289884
8,3607.03,1.16857,1.20598,1.23793,0.77815,0.58933,0.63789,0.3088,1.61916,1.29158,1.43547,0.000219198,0.000219198,0.000219198
9,4100.79,1.1366,1.15797,1.22261,0.76939,0.57142,0.63705,0.32124,1.6303,1.31889,1.43625,0.000148512,0.000148512,0.000148512
10,4594.42,1.11328,1.1078,1.20197,0.77419,0.60569,0.65445,0.33172,1.57566,1.22687,1.41278,7.7826e-05,7.7826e-05,7.7826e-05
