epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46101.5,0.79446,0.66012,1.08864,0.9094,0.74216,0.82344,0.5003,1.37899,0.82969,1.52815,0.000299982,0.000299982,0.000299982
43,47256.1,0.79705,0.65939,1.08894,0.90448,0.72782,0.80644,0.48289,1.41313,0.83806,1.54022,0.000289884,0.000289884,0.000289884
44,48393.3,0.79407,0.65029,1.08313,0.87831,0.7529,0.81466,0.4937,1.40644,0.83111,1.51818,0.000279786,0.000279786,0.000279786
45,49510.4,0.78821,0.64986,1.0847,0.91045,0.74791,0.81138,0.4913,1.40317,0.83203,1.53225,0.000269688,0.000269688,0.000269688
46,50616.3,0.77777,0.64243,1.08044,0.88872,0.78159,0.83027,0.50652,1.38408,0.81302,1.51943,0.00025959,0.00025959,0.00025959
47,51736.5,0.77749,0.64003,1.07239,0.89062,0.7612,0.82581,0.51425,1.32957,0.8036,1.46333,0.000249492,0.000249492,0.000249492
48,52829.3,0.78469,0.63807,1.07739,0.90634,0.76947,0.83085,0.49677,1.41284,0.80613,1.55231,0.000239394,0.000239394,0.000239394
49,53913.1,0.76802,0.62743,1.07009,0.88747,0.77441,0.82354,0.50948,1.36406,0.80462,1.47984,0.000229296,0.000229296,0.000229296
50,55034.2,0.77448,0.62609,1.068,0.89164,0.77889,0.83094,0.50627,1.4106,0.81385,1.54011,0.000219198,0.000219198,0.000219198
51,56180.8,0.77385,0.63007,1.07252,0.88834,0.78322,0.83213,0.50735,1.38968,0.78585,1.5391,0.0002091,0.0002091,0.0002091
52,57330.4,0.77121,0.62767,1.06923,0.90283,0.7733,0.83864,0.50988,1.37307,0.777,1.52214,0.000199002,0.000199002,0.000199002
53,58475.5,0.76707,0.62276,1.06769,0.8738,0.78861,0.83413,0.53712,1.29676,0.77668,1.44533,0.000188904,0.000188904,0.000188904
54,59617.8,0.76248,0.61855,1.06615,0.87696,0.76957,0.828,0.50604,1.37492,0.81103,1.48746,0.000178806,0.000178806,0.000178806
55,60755,0.75578,0.61407,1.06327,0.88446,0.77913,0.833,0.50664,1.38321,0.79314,1.51239,0.000168708,0.000168708,0.000168708
56,61792.2,0.76714,0.61548,1.06522,0.89727,0.76679,0.83403,0.51153,1.37198,0.77148,1.48763,0.00015861,0.00015861,0.00015861
57,62829.4,0.75542,0.61502,1.06293,0.91752,0.77067,0.83524,0.51075,1.37543,0.77628,1.49823,0.000148512,0.000148512,0.000148512
58,63862.8,0.75147,0.60119,1.05358,0.91246,0.77419,0.83543,0.52548,1.31446,0.76399,1.45521,0.000138414,0.000138414,0.000138414
59,64885.7,0.74617,0.60274,1.05725,0.90329,0.7741,0.83495,0.52559,1.33882,0.77719,1.47624,0.000128316,0.000128316,0.000128316
60,65905.7,0.73597,0.59224,1.04685,0.90868,0.7892,0.83835,0.52321,1.32786,0.76908,1.4664,0.000118218,0.000118218,0.000118218
61,66890.3,0.76706,0.54752,1.06282,0.89613,0.76189,0.82888,0.51482,1.35698,0.79068,1.48787,0.00010812,0.00010812,0.00010812
62,68004.3,0.74171,0.51711,1.04623,0.8973,0.78453,0.83349,0.5144,1.35068,0.7803,1.47991,9.8022e-05,9.8022e-05,9.8022e-05
63,69121.8,0.73699,0.51878,1.04898,0.92607,0.77718,0.83457,0.52036,1.3428,0.76895,1.47631,8.7924e-05,8.7924e-05,8.7924e-05
64,70252.4,0.72833,0.51063,1.04175,0.90863,0.77615,0.83645,0.52263,1.32289,0.76629,1.46479,7.7826e-05,7.7826e-05,7.7826e-05
65,71377.3,0.72644,0.50951,1.04281,0.9181,0.78035,0.83119,0.52577,1.30583,0.75749,1.45389,6.7728e-05,6.7728e-05,6.7728e-05
66,72509.6,0.71841,0.50098,1.03683,0.90837,0.77611,0.83405,0.52699,1.31901,0.76196,1.46062,5.763e-05,5.763e-05,5.763e-05
67,73578.3,0.71493,0.50192,1.03491,0.93353,0.77912,0.84056,0.53131,1.2985,0.75305,1.4522,4.7532e-05,4.7532e-05,4.7532e-05
68,74628.9,0.71853,0.50388,1.03324,0.92385,0.78573,0.84319,0.53257,1.30332,0.75134,1.45341,3.7434e-05,3.7434e-05,3.7434e-05
69,75683.5,0.70223,0.4937,1.02487,0.92301,0.78574,0.8438,0.52918,1.32059,0.75966,1.46844,2.7336e-05,2.7336e-05,2.7336e-05
70,76750.9,0.70443,0.49505,1.03232,0.92562,0.78002,0.84262,0.53015,1.31198,0.75444,1.46318,1.7238e-05,1.7238e-05,1.7238e-05
