epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.29,1.50264,2.72486,1.47523,0.60916,0.37197,0.40972,0.18926,1.70538,2.01615,1.5712,0.00023727,0.00023727,0.00023727
2,895.817,1.4004,1.80554,1.40989,0.65507,0.45817,0.49758,0.22526,1.83768,1.83535,1.63503,0.000428218,0.000428218,0.000428218
3,1342.34,1.36207,1.63877,1.37526,0.68388,0.44526,0.50394,0.24444,1.73698,1.69517,1.58645,0.000572042,0.000572042,0.000572042
4,1889.74,1.30449,1.51299,1.34272,0.61313,0.54316,0.55586,0.25658,1.71103,1.61542,1.56482,0.000501942,0.000501942,0.000501942
5,2365.45,1.26637,1.41359,1.31384,0.69543,0.51681,0.55841,0.28253,1.64287,1.53709,1.48922,0.000431256,0.000431256,0.000431256
6,2838.29,1.23713,1.34033,1.28647,0.73281,0.54119,0.59184,0.30434,1.59511,1.41527,1.46364,0.00036057,0.00036057,0.00036057
7,3315.72,1.19572,1.26596,1.25773,0.78137,0.55823,0.62048,0.30826,1.63987,1.40467,1.46339,0.000289884,0.000289884,0.000289884
